特約商店名稱,營業地址
ＫＦＣ－高雄橋頭,高雄市橋頭區 成功南路４１之１號１、２樓
ＫＦＣ－高雄橋頭ＫＩＯＳＫ,高雄市橋頭區 成功南路４１之１號１、２樓
ＫＦＣ－鳳山中山,高雄市鳳山區 中山路２１５號
ＫＦＣ－鳳山中山Ｋｉｏｓｋ,高雄市鳳山區 興仁里中山路２１５號
ＫＦＣ－鳳山五甲,高雄市鳳山區 五福二路１號１樓
ＫＦＣ－鳳山五甲　Ｋｉｏｓｋ,高雄市鳳山區 五福二路１號１樓
ＫＦＣ－鳳山青年,高雄市鳳山區 青年路２段３１３號
ＫＦＣ－鳳山青年Ｋｉｏｓｋ,高雄市鳳山區 青年路２段３１３號
Ｌｉｔｔｌｅ　Ｓｈａｆｉｏｒ少莎馡歐,高雄市前鎮區 育群街２９０號
ＭＥＮＩＰＰＥ－仁武店,高雄市仁武區 仁雄路４５１號１樓
ＭＩＮＩ﹒Ｄ　ＣＯＦＦＥＥ－高雄自立館,高雄市前金區 自立二路１１７號１Ｆ、２Ｆ
ＭＩＮＩ。Ｄ　ＣＯＦＦＥＥ－至聖店,高雄市左營區 至聖路２５０號１Ｆ
ＭＩＮＩ。Ｄ　ＣＯＦＦＥＥ－岡山運動中心店,高雄市岡山區 中山南路１６９號
ＭＩＮＩ。Ｄ　ＣＯＦＦＥＥ－明倫店,高雄市鼓山區 明倫路１４１號
ＭＩＮＩ。Ｄ　ＣＯＦＦＥＥ－美術店,高雄市鼓山區 美術館路８７號１Ｆ
ＭＩＮＩ。Ｄ　ＣＯＦＦＥＥ－高雄仁武仁雄店,高雄市仁武區 仁雄路９１之２號
ＭＩＮＩ。Ｄ　ＣＯＦＦＥＥ－裕誠店,高雄市左營區 裕誠路４２８號１、２Ｆ
ＭＩＮＩ。Ｄ　ＣＯＦＦＥＥ－鳳山文化店,高雄市鳳山區 文建街１７８號及１８０號
ＭＩＮＩ。Ｄ　ＣＯＦＦＥＥ－藍田店,高雄市楠梓區 大學東路１７３號
ＭＩＮＩ‧Ｄ　ＣＯＦＦＥＥ－三多店,高雄市前鎮區 三多三路８１號
Ｎａｙａ　Ｃａｆｅ,高雄市岡山區 中山南路６９號
ｎｉｃｅｙｏ　耐斯優優格專賣七賢店,高雄市新興區 七賢一路２９５號１樓
ｎｉｃｅｙｏ　耐斯優優格專賣大順店,高雄市左營區 大順一路２９６號１樓
Ｏｔｔｏ２　義守大學店,高雄市大樹區 學城路一段一號
Ｏｔｔｏ２義大樂園店,高雄市大樹區 學城路一段１０號４Ｆ
ＯＷＬｏｃｋｅｒ寄物櫃－義大遊樂園,高雄市大樹區 學城路１段１０號
ＯＷＬｏｃｋｅｒ智慧型寄物櫃－高鐵左營站,高雄市左營區 高鐵路１０５號２樓
ＯＷＬｏｃｋｅｒ智慧型寄物櫃－義大世界購物廣場,高雄市大樹區 學城路１段１２號
ＯＷＬｏｃｋｅｒ智慧型寄物櫃－義享天地,高雄市鼓山區 大順一路１１５號
ＰＩＮＧ　ＰＡＲＫＩＮＧ　ＬＯＴ興中站,高雄市苓雅區 意誠段５３、５４及５５地號（全部）
ＰＩＺＺＡ　ＢＲＯＳ,高雄市苓雅區 新光路７０號１樓
Ｑ　Ｂｕｒｇｅｒ　－　高雄進學店,高雄市大寮區 進學路１１０號１樓
Ｑ　Ｂｕｒｇｅｒ　－　楠梓元帥店,高雄市楠梓區 三山街８號
Ｑ　Ｂｕｒｇｅｒ　－高雄臨海二店,高雄市鼓山區 臨海二路４３號（１樓）
Ｑ　Ｂｕｒｇｅｒ－高雄大昌店,高雄市三民區 大昌二路５２２號１樓
Ｑ　Ｂｕｒｇｅｒ－高雄大順店,高雄市苓雅區 大順三路２２２號（一樓）、２２４號（一樓）
Ｑ　Ｂｕｒｇｅｒ－高雄文忠店,高雄市鼓山區 文忠路１００號
Ｑ　Ｂｕｒｇｅｒ－高雄四維二店,高雄市苓雅區 四維二路２４３及２４５號１樓
Ｑ　Ｂｕｒｇｅｒ－高雄民族店,高雄市三民區 民族一路７９６號（一樓）、７９８號（一樓）
Ｑ　Ｂｕｒｇｅｒ－高雄吉林店,高雄市三民區 吉林街９６、９８號
Ｑ　Ｂｕｒｇｅｒ－高雄城峰店,高雄市左營區 城峰路５６號（１樓）
Ｑ　Ｂｕｒｇｅｒ－高雄建德店,高雄市三民區 建德路５１號、５３號（１樓）
